Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] Our first question comes from Glenn Schorr with Evercore ISI.,neutral,0.0465,0.0235,0.93
11,Glenn Paul Schorr,,"So I appreciate the forward-looking guidance. I'm just curious on the deposit migration that you're seeing, the interest-bearing down 12% -- interest-bearing up 7%, noninterest-bearing down 12%. Is that -- do we look for more of the same in the next several quarters that a function of the rate environment? In other words, if we go on the path that is in the forward curve, is it going to be just be chipping away? Or do you see an end to that client behavior? It just has, obviously, a big impact on the modeling.",negative,0.0362,0.7707,0.1932
2,Michael P. Santomassimo,,"Glenn, it's Mike. I'll take that. So I think when you look at the noninterest-bearing as a percentage of the total, it's about where we expected it to be and what we've been saying now for a very long time actually. And so just -- it's just about 30% of the total. And so as we've said a number of times over the last couple years, we would expect that percentage to trend down a little bit below 30 over a period of time. And so it's behaving sort of where we thought it would -- it's right about where we thought it would be.",negative,0.04,0.6494,0.3106
1,Charles W. Scharf,,"It's factored into what – and Glenn, this is Charlie.  That's the way we thought about where it looks like going forward if that continues.",neutral,0.0693,0.0163,0.9144
11,Glenn Paul Schorr,,Okay. Might as well finish off this NII combo then. Does the same apply for the modest decline on the loan side and the incremental deposit betas of over 60% this quarter?,negative,0.0527,0.8817,0.0656
2,Michael P. Santomassimo,,"Yes. Look, I think on the loan side, that will bounce around from any given quarter. So I wouldn't read into a decline in loans as a go-forward trend that's going to continue to decline. On the deposit betas, recall that there was a rise in March that's fully baked into the second quarter, and there was a stub of -- or another rise in June. And so it's probably a decent indication of where betas are trending right now.",negative,0.1034,0.808,0.0886
0,Operator,,And our next question comes from Alex Blostein with Goldman Sachs.,neutral,0.0439,0.027,0.929
4,Alexander Blostein,,"Just first question around expenses. Can you provide us an update on the kind of $300 million investment initiative you outlined at the Investor Day? I guess, a, is it still $300 million? How much of the kind of $300 million is already in the run rate? And how we should think about just maybe absolute dollars of expenses as we progress through the year?",neutral,0.0426,0.0256,0.9318
2,Michael P. Santomassimo,,"Alex, it's Mike. Thanks for the question. So as we mentioned last quarter, we -- that $300 million investment sort of ramps up throughout the year and so it's not exactly a linear sort of progression throughout the year, but we're sort of midway through the year, and we're sort of approximately at sort of where we expected to be in that sort of ramp-up. And the $300 million sort of plus or minus is still sort of the range that we've been looking at.",neutral,0.2059,0.0748,0.7193
1,Charles W. Scharf,,"The only thing I would add to it is that what we talked about relative to where we had hoped the total expense outcome to be for the company, I wouldn't say there's no meaningful difference there. So to the extent that we decide to spend more money on technology, we will actively seek to manage the overall expense base, and that's still what we're trying to accomplish.",neutral,0.1994,0.0147,0.7859
