Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] Our first question comes from Brennan Hawken with UBS.,neutral,0.0427,0.0271,0.9301
6,Brennan Hawken,,"Eric, you just ran through a bunch of color on expectations for the year in 1Q. One that I was hoping to dig a little in on is the fee revenue side. I think you said that the 1Q fee revenue growth down 2% to 3% sequentially, and you gave a couple of factors. Does that guidance include what we've seen so far year-to-date in the equity markets, which has been pretty robust? Or is that a potential offset if it proves to be durable through the quarter?",negative,0.1312,0.7582,0.1106
45,Eric Walter Aboaf,,"Brennan, it's Eric. The guidance is effectively as a combination at the end of the year. And obviously, if there's large dislocations between then and now, we factor it in. I think you'd say equity markets are up. Volatility still, though, on -- and trading is still pretty light. We've not seen that big January uptick that I think we used to see 4, 5 years ago. Interest rates have been, call it, puttering around. So I don't think there's a lot that's really changed, and this is an outlook effectively based on what we see now. 
I think that I described, there's -- some of this is just the usual seasonality like in Charles River, which peaks in fourth quarter just because of the cycle of sales that's come through and then dip in first quarter. We have some visibility into servicing fees. Asset management fees, I noted will take a bit of a step down. Trading, we'll see. So it's kind of a combination that we're looking at.",neutral,0.1325,0.0889,0.7786
6,Brennan Hawken,,"That's all really fair. And then when we think about some of these robust equity markets that we've seen, and you guys have clearly done a really good job of trying to get your hands around the elevated fee pressure that you were seeing over early 2019 and leading into that. 
In the past, we've seen some breakage in fee rate when equity markets rally really hard really fast because your servicing fees are not all just purely contractually a percentage of AUC's basis points on assets under custody. Some of them are inflation. Some of them were pegged activity levels and the like. 
So can you help us think about -- should we be prepared for optically the way we model State Street some fee rate pressure here in the near term just because of those mechanical factors rather than thinking -- I just -- I know some people think that when the equity markets go up, okay, then the servicing fee is going to go up with the fee rate being flat. In the past, it hasn't worked out that way. So just trying to think about how to calibrate for that.",neutral,0.1197,0.0612,0.819
48,Ronald Philip O’Hanley,,"Brennan, it's Ron. Let me begin on that. I mean in the past, you're correct, there has been a cycle when you've seen sharp-up equity markets that has been followed by a relook by the client base at what they're paying, and a wave of fee renegotiation. And that's still possible. I think what's different this time is, firstly, we have comprehensively been through the client base, either at their bidding or at our bidding. In some instances, we've been the proactive ones wanting to take control of the situation. We've tended to get more term out of these things. And in general, the level of partnership that's between us and our clients now is at a much higher level. 
So I would suspect -- my expectation would be that certainly, there'll be some conversation, but I would not expect the same kind of effect that we've seen in the past. Eric, you may want to add something to that.",neutral,0.1291,0.0343,0.8367
45,Eric Walter Aboaf,,"Yes, Brennan, I'd just add the kind of quantitative side to this is, remember, most of our fee schedules in the servicing business are based off of averages, average for a quarter or multiple months within a quarter or what have you. And so it's worth just remembering that if you take through the appreciation in stock market indices, and I think there is a good table on the top right of Page 6 in our slide deck, the S&P -- and this is 4Q to 4Q. But if you think about it on a full year basis, which I think a number of you have, the S&P was up 29% end-of-period to end-of-period, that feels great. But the average was up only 6%, right? The EAFE average point-to-point was up 18%. On average, it was actually down 4%. So it's really the averages that are factoring through. And I just encourage you to think about those as you think about modeling the servicing fee effects. And in addition, those are what the -- but what we focus on, both from a -- as we think about the calculation of the servicing fees, but also what the clients think about as part of the building process.",neutral,0.2147,0.0798,0.7054
0,Operator,,Our next question comes from Glenn Schorr with Evercore.,neutral,0.0406,0.0483,0.9111
11,Glenn Paul Schorr,,"Curious if you could talk -- and you might have touched on it a little bit, but if you could talk on your deposit optimization efforts, what's working and where you are through the process you've been going through client by client. 4% growth is good. Do you consider any of it repo environment related and transient? Just curious to get the mark-to-market on that.",neutral,0.1296,0.0133,0.8571
45,Eric Walter Aboaf,,"Sure, Glenn. It's Eric. Let me start. Deposit initiatives were something that we really began to focus on late in fourth quarter of '18, I think I'd say, and then it's been an intense effort for 4 or 5 quarters now. And it really is in response to thinking about how do we serve our clients with our balance sheet. Now as you say, sometimes it's deposits, sometimes it's cash money market sweeps into the asset manager. Sometimes it's some of the sponsored repo that we do. So there's a series of different areas. 
I don't think it's particularly -- the results of those initiatives on a year-on-year basis are north of $10 billion of deposits, tend to be more on the interest-bearing side because that's what's discretionary. It's come in probably 3 buckets. The largest of the buckets is working with our custody clients and thinking about how to serve them on their discretionary cash. Sometimes it's the asset managers. Sometimes it's insurers. Sometimes it's the pension funds. So that's been -- that's probably been the biggest piece. 
We've also, I think, built up over time a book of corporate deposits. Because remember, not only do we have partners and suppliers for corporations, but because of our custody of the pension plans, right, we have often an introduction from the pension -- the defined benefit pension plans or 401(k) plan into the corporate treasurer. And so that creates a natural access. 
And then the third bucket is we always supplement with a little bit of CDs or broker deposits, but I think that's been probably the smallest of this of the three buckets. 
So those are the kind of initiatives we've taken. They've been, I think, material in terms of continuing to build our balance sheet, which then lets us -- provides enough oxygen, in effect, for us to build our loan book, our investment portfolio, our trading book. And so that's kind of part of how we think about running the bank. 
And then specific to your question of would it have been better, different, lower, higher because of quantitative easing or not, I don't think the initiatives would have been particularly different. I do think there is more deposits in the system, in the banking system, and we've seen some of that probably starting in the second half of the third quarter in that kind of period when the Fed began to intervene and into fourth quarter. It's hard to dimension how much there is, but you and I both read the Fed H.8 reports, and that kind of gives you a little bit of an indication.",neutral,0.0552,0.0347,0.9101
11,Glenn Paul Schorr,,"I appreciate that. And maybe one more on just the servicing wins. $294 billion in the quarter, $1.8 trillion for the year. If you look at that, that's over 5% organic growth. Now obviously, it's a gross number, not net. I don't know if you want to share just a ballpark range of where net is. But then the specific question is if you can help us with the composition of what's in the won but not yet funded pipe. I see some of the press releases. I see some ETF wins in there in the fourth quarter, but maybe just help us think through what's in there.",neutral,0.0756,0.0206,0.9038
48,Ronald Philip O’Hanley,,"Yes, Glenn. It's Ron. It's a mix of things that are in there. It's -- some of it is true one-offs, meaning we've won something. It's in the queue to be installed. It'll be installed. More typically, just given the nature of our client base, which tends to be larger asset managers and asset owners, when we win something, we install in tranches. Sometimes it could be very conventional business, like we have a very large mutual fund win earlier in the year. But some of the funds are more complicated than others. Sometimes the client wants it done in a particular sequence around their fund boards. So there's some of that in there. You can probably draw the conclusion that the more complicated of business tends to get involved later. 
The other thing that's in there, though, is, increasingly, the nature of our business is that we're not just winning a custody or accounting assignment, but we're winning all or a portion of the front-to-back, meaning there's some middle office in there, there might be some Charles River in there. So oftentimes, what you're seeing is a installation of another service for an existing client where we had an install earlier in the year. And that's the way to think about it.",neutral,0.0409,0.0615,0.8976
11,Glenn Paul Schorr,,"Got it. Okay. That's interesting. I appreciate it. And is it in and around the range of the average margin? Because I know going piece by piece would be impossible. But just like the ones that not yet funded, is it coming in at a higher level, average level or below average level?",neutral,0.0646,0.0401,0.8952
45,Eric Walter Aboaf,,"Glenn, it's Eric. It's -- I think, as Ron said, it's a mix. It's -- well, it's a mix of fee rate and it's a mix of timing. And as you could see, the to be installed was high a quarter ago. It's high again this quarter. And so sometimes this installs more quickly. Sometimes more slowly. So just -- I know it's hard to model. I just encourage you to put a big band around it.",neutral,0.0524,0.0515,0.896
0,Operator,,Our next question comes from Ken Usdin with Jefferies.,neutral,0.0418,0.0289,0.9294
12,Kenneth Michael Usdin,,"To follow-up on the NII outlook, Eric. I was wondering when you talk about the expected decline next year, can you just give us a little bit more color on just the dynamics of how much and how the lower rates from last year still roll through on the NIM? And also against your point about there being some excess deposits in the system, but you're still growing these deposits from your strategic initiatives, can the balance sheet also expand to continue to expand from here? So I guess just a split dynamic of what happens on the NIM side versus what happens on the balance sheet.",neutral,0.1546,0.339,0.5064
45,Eric Walter Aboaf,,"Yes, Ken. It's Eric. You're right that -- you're asking the volume question and the rate question. So maybe -- let me do that in that order. 
I think from a volume perspective, the 2 drivers that we see in this business are, firstly, the amount of wins that we have in custody and accounting because those typically come with those residual deposits that -- the frictional deposit in the system. And so those will come based on the kind of the win rates that we have and some of the installation. 
I think the other one is the deposits in the system. And I think we've clearly seen a bit of an uptick quarter-over-quarter based on the bank-wide data as well as some of the -- some of what you've seen in our results and a couple of the other banks that you've all seen that in the Fed statistics. 
I think the question is, what happens to deposits in the banking system over the next year? Did we just -- did the Fed in effect with its easing process over the last 4, 5, 6 months get us to a new level and then we just go back to the slow build off of that? Or is there going to be more or less Fed activity? And I'll leave that one to -- for you to think about. I think that one is the uncertainty. 
So we do expect some amount of modest deposit growth. I think the -- what we're careful on, on deposits and we still expect to see is some amount of continued rotation from noninterest-bearing into interest-bearing or interest-bearing into treasuries because you're seeing that in the underlying asset holdings of our clients in the industry. And as we think about the volume of deposits going forward, we've been comforted that there have been 3 quarters in a row of stable noninterest-bearing deposits. But I'll remind you, third quarter and fourth quarter of '18 actually saw an uptick in noninterest-bearing deposits, and then it fell by -- it fell significantly in the first quarter of '19 from 4Q '18. So we're hesitant to think that we're -- we've gotten to a sea change. We like to see a flattening of that line, but we're hesitant to call that a sea change just yet, which is why we do think there will be some continued rotation in the coming quarters and year. 
I think from a rate standpoint, it's everything you'd expect as long rates still have a negative effect on a full year basis again. So long rates, I guess I should say, long rates have a negative effect as the tractor of the investment portfolio plays through. And unless long rates pop up 30, 40, 50 bps, you still have that playing through to a negative. You have the short rates are -- kind of have been reset, and so we're going to -- it's going to take 3 or 4 quarters to lap ourselves, and so you have that effect playing through. 
And then you have some -- as we think about the first quarter, as an example, you've got some transactional impacts, right, as we call those perhaps, we replace them with long-term debt, right, because we have TLAC requirements. And so in effect, I end up with a higher net income, but the -- I get it -- we get higher available to common, but we also have a -- also have more interest expense because of how the P&L accounting is for us. 
So anyway, I'm hoping I covered most of it there.",negative,0.0906,0.5708,0.3386
12,Kenneth Michael Usdin,,"Yes. And just one more, just balance sheet structure question to your point on the preferreds. You did that redemption. You said you were -- last quarter, you're able to do that before getting even the final. Could you continue to do more in that ahead of getting the finalization of SCB? Or does now SCB finalization really lead any further decisions you make about the balance sheet structure and capital actions?",neutral,0.0758,0.0176,0.9066
45,Eric Walter Aboaf,,"Yes, Ken, fair question. But obviously, we're -- any kind of decision by us around CCAR about interim capital actions is something that we just don't have an ability to telegraph beforehand or to really discuss. I'd just tell you, we always look at the full range of what we can do. We're always conscious that there are periods immediately after CCAR where one tends to have an opportunity. It gets a little more delicate in the first quarter. So let me just leave it at that. 
It's the kind of thing where I don't think timing matters a ton about when we take our capital actions, but the -- but we are looking at, obviously, the change in the leverage rules. And then importantly, we need to see how the SCB comes through. And that's -- that I think we'll know in the coming weeks, and then we'll start to gear up for the -- for these -- for our annual CCAR process.",neutral,0.0426,0.0571,0.9003
0,Operator,,Our next question comes from Alex Blostein with Goldman Sachs.,neutral,0.0399,0.0336,0.9265
4,Alexander Blostein,,"I was hoping to dig into NIR in the quarter around some of the deposit cost trends. If I look at the non-U.S. side, it looks like it was a negative 4 bps kind of number. I know there's some FX dynamics that are all through that, that could create a little bit of noise. But can you help us understand just kind of where you guys are in terms of deposit costs, how you expect it to evolve from here? And if there's anything one-off this quarter that helped that?",neutral,0.073,0.2482,0.6788
