Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] Our first question comes from the line of Brennan Hawken with UBS.,neutral,0.0379,0.0233,0.9388
6,Brennan Hawken,,"Thanks for all the detail that you provided in the deck on the targets. Really very, very helpful, very, very thoughtful. I'd love to start there. So it seems as though you guys see a really strong pretax margin enhancement opportunity. Where do you expect that you're going to see the results of that opportunity come through first? 
And while I appreciate that the targets are over a 3- to 5-year period, is the profile of the improvement that you expect likely to look straight line? Or is there going to be a more parabolic curve resulting in more of a back-end weighting?",neutral,0.2052,0.016,0.7788
28,Dermot William McDonogh,,"Brennan, this is Dermot. I'll start off. So the way I think about it is if you take the comments that both Robin and I have prepared and we've just laid out over the last 30 to 35 minutes, you can see truly that 2023 was a foundational year. We did a lot of exploratory work, detailed planning. We've made a bunch of investments, both which will drive efficiency and which will drive growth. 
We've talked a lot over the last few quarters about Wove, which we launched last June. And in my prepared remarks, I talked about $30 million to $40 million of revenue this year. So I would say we're making investments in all of our segments, and you can also see it in Investment and Wealth Management, where we are beginning to see green shoots. And you can see we're making a lot of investments in our Securities Services businesses modernizing our platforms. 
So I would say you're going to see it quarter-by-quarter. And I think over time, as you get to know Robin and myself, you'll see us do it and then talk about it rather than pre-announce it and then do it. So we're in execution mode, and we will deliver, but you're going to see this happen quarter-by-quarter.",neutral,0.1396,0.0152,0.8452
6,Brennan Hawken,,"Okay. The environment is rather different from the last time we spoke. We've seen an indication of a Fed pivot. Everyone is now expecting a far more short order policy rates to be declining. And so we saw an uplift -- even though there was only a little bit of averaging in of policy rate a little higher this quarter, we did see an uptick in -- on the deposit cost side. 
So what drove that? And then how should we be thinking about the mechanics of the lower policy rate and how that might flow through on the deposit side and what's captured in your NII outlook for 2024? A few questions in there. Sorry, Dermot.",neutral,0.3141,0.2795,0.4064
28,Dermot William McDonogh,,"Yes, I was going to say for a follow-on question, that was special, yes.",neutral,0.0795,0.0194,0.9011
6,Brennan Hawken,,Got my money's worth.,neutral,0.0962,0.0272,0.8766
28,Dermot William McDonogh,,"Yes. So hopefully, others won't have to ask the same question again. So look, if you go back 12 months when we gave our 20% guidance for 2023, there was a disconnect between what the market thought was going to happen in '23 and what the Fed thought was going to happen in '23. The market was calling for rate cuts in June of '23, and the Fed wasn't. We guided 20%. The year played out very, very differently to what everybody thought was going to happen. And we ended up with a 24% year. 
To one of your questions where -- why did deposit costs go up, I think our NIM for Q4 was in the 1.26% range, and that really is balances rolling off and new balances coming on at market rates. And we ran strong to the tape at the year-end. And look, I have to say, how we did on deposits in Q4 was a little bit of a 1BNY Mellon effort between lines of business, our deposit team, our Treasurer and our CIO book. So we feel very good about how we finished the year, and we outperformed,  $1.1 billion of revenue. So all in all, we feel very good about that. 
This year, again, I think the Fed and the market are a little bit at odds. We had a Fed commentator talk a couple of days ago about March being too early. Notwithstanding that, the market thinks there's an 80% probability of a rate cut happening in March. So we're neutrally positioned in the outlook for '24. 
On balance, if the rates happen, and 6 cuts happen this year, we might expect balances to go up. If it's higher for longer, we expect people to optimize and we say continued outflow of deposits. But we start the year strong with $273 billion of average deposits in Q4. We feel good about our NIM for 2024. So we feel we're set up nicely, but the balance of outcomes, we think, down 10% for '24.",negative,0.2325,0.529,0.2384
0,Operator,,Our next question comes from the line of Mike Mayo with Wells Fargo Securities.,neutral,0.0311,0.036,0.9329
18,Michael Lawrence Mayo,,"So let me see if I did okay in my math class in school. So in 2024, you're guiding for flat expenses, flat or higher operating leverage, NII down 10%. That implies fees up 3%. So did I do my math correctly? And if I did it correctly, why only up 3%?",positive,0.5796,0.2699,0.1505
24,Robin Antony Vince,,"So Mike, it's Robin. We're not going to quibble with your math or with your English comprehension either from our commentary. You've gotten right what we said. We've intentionally not guided on fees because of the nature of the year, and we recognize that there are a lot of different inputs to that. So we recognize that the year can, in fact, turn out in various different ways. We feel committed to the flat to plus on the operating leverage that we've committed to. And we've guided to how we think the other things are going to play out. And so that was quite deliberate, and we're focusing you on the things that we've talked about. But obviously, from a math point of view, we understand how the math works.",neutral,0.0864,0.0328,0.8808
18,Michael Lawrence Mayo,,"The more important question would just be your medium-term target to take your returns to 23%, up from 21% last year or, I guess, 21.5% or so this past year. How do you define the medium term? And for that 150 basis point increase from here, how would you segment that, like efficiency, revenue, buybacks or some other way just to give us like a simple waterfall chart in words?",neutral,0.12,0.0159,0.8642
