Speaker ID,Speaker Name,Speaker Company,Text,Sentiment Label,Positive Score,Negative Score,Neutral Score
0,Operator,,[Operator Instructions] Our first question comes from Brian Bedell with Deutsche Bank.,neutral,0.0499,0.0229,0.9272
7,Brian Bertram Bedell,,"Just -- maybe just to start out with the balance sheet and just look at sort of the growth maybe on a year-over-year basis. The deposit levels have come down a little bit on a year-over-year basis. Maybe if you can just talk about sort of what you're seeing on deposit behavior in the Wealth Management segment and -- versus your C&IS segment and think about how we should think about balance sheet growth going forward given you certainly have a lot of capacity -- capital capacity. And then, your use of borrowed funds as well does -- have doubled on a year-over-year basis, so maybe just talk about the strategy behind that as well.",neutral,0.0684,0.3737,0.5579
35,Stephen Biff Bowman,,"Okay. I'll start with question one around the balance sheet and the growth and I'll focus first on the Wealth Management deposits. We have seen that level come down a bit. I think it's -- there are a couple of factors that we would highlight there. 
First is, obviously, we've moved into an increasing rate environment. And those clients, particularly our clients at the higher end of the wealth spectrum, have an array of opportunities to invest their cash. It could be on our balance sheet and we do what we can to provide competitive pricing and opportunity on our balance sheet, but they also may be looking at cash funds and/or other investments to deploy their cash. So when we've seen that -- over the span of a year, we've seen those balances move. Most of those, more than half, about 2/3 have moved somewhere inside of The Northern Trust into either cash funds or other products and capabilities where we've seen those move internally. 
The second thing on the deposit side which we see sequentially in the second quarter is we do see some sequential moves for tax purposes and that's -- we've seen that seasonally in the past. So on the Wealth deposits, while we've seen some of that come down on the Wealth side, it's really the deployment of that and, in some cases, that just moved from balance sheet to other funds at The Northern Trust. Some, approximately 1/3 or so as we described it, could have moved to other products somewhere outside of The Northern. 
We remain competitive. We track our peer set closely and do what we can to ensure that our pricing remains competitive to attract and pay on those wealth deposits because they're very valuable deposits as you know. 
On the institutional side, I would say that those deposit balances can demonstrate a little more volatility based on, A, our growth profile. We grow and they go up, but those are large sophisticated asset owners who may deploy those assets into the market at any time -- an opportune time. A meaningful portion are very operational in nature, but we can see some movement in that from quarter-to-quarter and year-over-year. 
The pricing on those, the competitive nature of the pricing on those, we have fewer competitors than we do in the Wealth, but it's a little less transparent. So we monitor and have dialogues with our clients and do what we can to price those deposits appropriately. As you might imagine, some clients are on pre-negotiated rates and some are on standard rate cards. And again, we monitor that closely. We're competitive in the world in deposits and we will be in both spaces and continue to be competitive. 
I think, generally, the growth on our balance sheet that we've seen over time has just been the success of our business growth strategy. You've seen high single to low double-digit growth rates in our firm and fees and that generally manifest itself in, over time, a growing balance sheet.",neutral,0.0908,0.0627,0.8466
34,Mark M. Bette,,Short-term funds.,neutral,0.0239,0.0329,0.9432
35,Stephen Biff Bowman,,"And then short-term borrowed funds, there's -- the second part of that, I would say what we do -- because of our strong capital levels, we have the ability to do some discretionary leveraging, which does produce incremental net interest income for our shareholders. And given our financial strength and the leverage or lack of leverage constraints that we have as you see in our results, it's allowed us to utilize that. It can have the added benefit, the borrowed funds, of helping the LCR as we manage that so it does add to that. Those borrowed funds where we typically borrow can have the added benefit of helping out on the LCR as well.",positive,0.5525,0.0106,0.4369
7,Brian Bertram Bedell,,"That's super helpful. And maybe just a follow-up, just the organic growth, we've had -- obviously had some headwinds on the FX side and the market returns were mixed on a sequential basis, but if we look at the actual AUM in Wealth Management, if you can just talk about your general organic growth in Wealth Management maybe in the second quarter versus, say, to the first quarter and a year-over-year basis?",neutral,0.1121,0.0922,0.7956
35,Stephen Biff Bowman,,"Yes. I'll start maybe -- well, I'll talk the whole firm first. The organic growth rate, which we fairly consistently have been talking about in fees, has been -- we've talked about in the mid-single digits. Let's call it the 4% to 5% range. We, again, had a quarter where we were in that range, we saw. 
Specifically to Wealth, we did see some slowing of the organic growth rate in Wealth from first to second quarter and, again, that was impacted less by gross new business than it was by flows. And the flows, if we think about it, can have things like tax payments in the first quarter when -- early second quarter, excuse me, on tax day and/or deployment of that cash and/or investment in the markets and/or potentially even loan pay downs as second homes or other items have become less tax-attractive. Those combined could create some flow pressures on values and AUM inside of our portfolios, but generally, the gross new business portion of that organic growth continue to be very strong in the business.",neutral,0.184,0.2951,0.5209
0,Operator,,Our next question comes from Michael Carrier with Bank of America Merrill Lynch.,neutral,0.0386,0.0328,0.9286
41,Michael Roger Carrier,,"Maybe just one more on the net interest revenue outlook. Just how should we be thinking about it for the rest of the year in terms of balance sheet growth given that it doesn't seem like maybe there's a lot of demand, but you're able to use the short-term funding? And then, if we do get another rate hike, what's the expectations in terms of that flowing through either to the NIM?",neutral,0.1187,0.0209,0.8605
35,Stephen Biff Bowman,,"Yes. So if we -- we obviously don't give guidance, but if I look at the impacts of a future hike, what I would say is the first thing we've got to look at is the asset side of the balance sheet for us. And I would say you can see that we remain asset-sensitive. We are heavily impacted by short-term rates, 1-month LIBOR primarily and 3 months LIBOR moving. So if those move up with a rate hike, which they would likely, the asset sensitivity remains in the balance sheet as you can see via a relatively low duration. So I think the asset side still has sensitivity to rate moves. 
Then we go to the important factor, which is what happens with the liability pricing in that. And what I would just say there is we're doing our best to be both disciplined in our pricing on the liability side, but we also need to be competitive. So we have to be both. And you have a view on what the competition is doing and others do. We monitor them as well and we remain competitive. It's important for us to be competitive in that landscape. I think we want to be a disciplined firm. I think you can see that in our betas and others, but we also have to be competitive. Our clients expect and deserve competitive rates and we will be mindful of the market when we do that. 
So the betas haven't reached 1. So they are expensive to at least the NIM. And then the second part of your question was on the balance sheet side. That's a reflection of our new business opportunities and some of the nuances of where our clients are either deploying cash or elsewhere. So I'm certainly not going to be able to give you a projection on that, but I did give you some of our thinking on how we think the asset and liability side could move.",neutral,0.0869,0.0448,0.8683
